deepcsv;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.971642) : (0.97772)) : (x<50 ? 0.97939:0.980545)) : (x<100 ? (x<80 ? (x<70 ? 0.98081:0.981163) : (0.981281)) : (x<120 ? 0.981661:0.982421))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.983735:0.982544) : (0.981165)) : (x<400 ? 0.976531:0.973397)) : (x<800 ? (x<670 ? 0.972349:0.970763) : (x<1000 ? 0.963537:0)))" 
0, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.945149) : (0.940437)) : (x<50 ? 0.939526:0.939985)) : (x<100 ? (x<80 ? (x<70 ? 0.939017:0.943887) : (0.942642)) : (x<120 ? 0.945029:0.946969))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.946817:0.94368) : (0.939811)) : (x<400 ? 0.943192:0.966467)) : (x<800 ? (x<670 ? 0.958232:0.985384) : (x<1000 ? 0.919442:0)))" 
0, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.01165) : (1.03835)) : (x<50 ? 1.06099:1.07224)) : (x<100 ? (x<80 ? (x<70 ? 1.08868:1.10237) : (1.11148)) : (x<120 ? 1.13131:1.17285))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.22526:1.27298) : (1.32141)) : (x<400 ? 1.38143:1.42932)) : (x<800 ? (x<670 ? 1.5257:1.55685) : (x<1000 ? 1.90748:0)))" 
0, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.95329) : (0.964399)) : (x<50 ? 0.96818:0.970391)) : (x<100 ? (x<80 ? (x<70 ? 0.971186:0.971935) : (0.972193)) : (x<120 ? 0.972712:0.973443))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.974181:0.972) : (0.969859)) : (x<400 ? 0.964699:0.959591)) : (x<800 ? (x<670 ? 0.956094:0.945181) : (x<1000 ? 0.933421:0)))" 
0, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.861868) : (0.86618)) : (x<50 ? 0.866977:0.865779)) : (x<100 ? (x<80 ? (x<70 ? 0.864256:0.869469) : (0.868409)) : (x<120 ? 0.87257:0.875137))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.875308:0.871252) : (0.865038)) : (x<400 ? 0.870538:0.885458)) : (x<800 ? (x<670 ? 0.868315:0.889955) : (x<1000 ? 0.81023:0)))" 
0, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.787857) : (0.807239)) : (x<50 ? 0.820355:0.830778)) : (x<100 ? (x<80 ? (x<70 ? 0.846965:0.859087) : (0.868612)) : (x<120 ? 0.893598:0.934419))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.972962:1.01324) : (1.05225)) : (x<400 ? 1.08684:1.1355)) : (x<800 ? (x<670 ? 1.20214:1.17177) : (x<1000 ? 1.47039:0)))" 
0, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.989995) : (0.991041)) : (x<50 ? 0.990601:0.9907)) : (x<100 ? (x<80 ? (x<70 ? 0.990435:0.990391) : (0.990368)) : (x<120 ? 0.99061:0.991398))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.993289:0.993089) : (0.992471)) : (x<400 ? 0.988363:0.987204)) : (x<800 ? (x<670 ? 0.988603:0.996346) : (x<1000 ? 0.993654:0)))" 
0, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.02843) : (1.01469)) : (x<50 ? 1.01208:1.01419)) : (x<100 ? (x<80 ? (x<70 ? 1.01378:1.01831) : (1.01687)) : (x<120 ? 1.01749:1.0188))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.01833:1.01611) : (1.01458)) : (x<400 ? 1.01585:1.04748)) : (x<800 ? (x<670 ? 1.04815:1.08081) : (x<1000 ? 1.02865:0)))" 
0, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.23544) : (1.26946)) : (x<50 ? 1.30162:1.31369)) : (x<100 ? (x<80 ? (x<70 ? 1.3304:1.34566) : (1.35436)) : (x<120 ? 1.36902:1.41129))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.47756:1.53273) : (1.59058)) : (x<400 ? 1.67602:1.72314)) : (x<800 ? (x<670 ? 1.84926:1.94193) : (x<1000 ? 2.34456:0)))" 
1, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.932586) : (0.949785)) : (x<50 ? 0.954548:0.956482)) : (x<100 ? (x<80 ? (x<70 ? 0.956242:0.955833) : (0.954682)) : (x<120 ? 0.953834:0.954396))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.955969:0.950582) : (0.941724)) : (x<400 ? 0.923944:0.916486)) : (x<800 ? (x<670 ? 0.899367:0.894924) : (x<1000 ? 0.861824:0)))" 
